Title,Address,Surface,Price (in zł),Rent
"Mieszkanie, 47 m², Gdańsk","Aniołki, Gdańsk, pomorskie",47 m²,3500,N/A
"Wyposażone, blisko Uczelni,balkon, infrastruktura","Aniołki, Gdańsk, pomorskie",50 m²,2400,560 zł/miesiąc
Mieszkanie na wynajem Gdańsk Focha 2 pok ID-80481,"ul. marsz. Ferdynanda Focha, Aniołki, Gdańsk, pomorskie",53 m²,2900,760 zł/miesiąc
"Słoneczne mieszkanie 2 pokojowe, wysoki standard","ul. marsz. Ferdynanda Focha, Aniołki, Gdańsk, pomorskie",46 m²,3000,950 zł/miesiąc
"Bez prowizji! 2 pokoje, duży balkon, zieleń!","ul. Daniela Chodowieckiego, Aniołki, Gdańsk, pomorskie","54,1 m²",2850,600 zł/miesiąc
Piękne mieszkanie dwupokojowe,"al. Zwycięstwa, Aniołki, Gdańsk, pomorskie","37,8 m²",2500,1 100 zł/miesiąc
nowoczesny apartament przy GUMED I STARÓWCE,"ul. Księcia Józefa Poniatowskiego, Aniołki, Gdańsk, pomorskie",56 m²,3200,600 zł/miesiąc
"Gdańsk-Aniołki Mieszkanie 3 pokojowe, przestronne!","ul. Daniela Chodowieckiego, Aniołki, Gdańsk, pomorskie",89 m²,3500,N/A
"Słoneczne 4 pokojowe mieszkanie, dwupoziomowe","Aniołki, Gdańsk, pomorskie",117 m²,5000,1 100 zł/miesiąc
Do wynajęcia 2 pokoje Wrzeszcz Dębinki,"ul. Dębinki, Aniołki, Gdańsk, pomorskie","47,14 m²",2700,550 zł/miesiąc
"Nowe w pełni umeblowane, blisko Gumed","ul. Wronia, Aniołki, Gdańsk, pomorskie",31 m²,2500,550 zł/miesiąc
Mieszkanie z ogrodem - blisko Gumed-u!,"ul. marsz. Ferdynanda Focha, Aniołki, Gdańsk, pomorskie","49,5 m²",3500,600 zł/miesiąc
