,Dzielnica,Liczba mieszkańców [ meldunki ],Powierzchnia [ km2 ],Gęstość zaludnienia [ os / km2 ]
0,Aniołki,4 417,231,1 914
1,Brętowo,7 529,723,1 041
2,Brzeźno,11 470,273,4 201
3,Chełm,31 450,389,8 085
4,Jasień,22 242,1145,1 943
5,Kokoszki,10 029,1994,503
6,Krakowiec- Górki Zachodnie,1 735,834,208
7,Letnica,1 822,389,468
8,Matarnia,6 026,1448,416
9,Młyniska,2 419,432,560
10,Nowy Port,8 896,208,4 277
11,Oliwa,14 882,1868,797
12,Olszynka,2 927,785,373
13,Orunia Górna-Gdańsk Południe,21 160,720,2 939
14,Orunia-Św. Wojciech-Lipce,13 224,1966,673
15,Osowa,16 182,1373,1 179
16,Piecki- Migowo,27 616,425,6 498
17,Przeróbka,3 750,688,545
18,Przymorze Małe,15 379,227,6 775
19,Przymorze Wielkie,25 650,324,7 917
20,Rudniki,1 027,1466,70
21,Siedlce,12 280,258,4 760
22,Stogi,9 832,1091,901
23,Strzyża,5 209,111,4 693
24,Suchanino,9 977,144,6 928
25,Śródmieście,24 393,565,4 317
26,Ujeścisko-Łostowice,28 815,787,3 661
27,VII Dwór,3 560,290,1 228
28,Wrzeszcz Dolny,22 047,350,6 299
29,Wrzeszcz Górny,21 383,642,3 331
30,Wyspa Sobieszewska,3 281,3579,92
31,Wzgórze Mickiewicza,2 394,52,4 604
32,Zaspa Młyniec,12 723,122,10 429
33,Zaspa Rozstaje,12 756,208,6 133
34,Żabianka-Wejhera-Jelit.Tysiąc.,15 265,233,6 552
