,Nr,Nazwa dzielnicy,Liczba ludności,Powierzchnia [km²],Gęstość zaludnienia [osób/km²]
0,1.0,Babie Doły,1944,221,880
1,2.0,Chwarzno-Wiczlino,13 450,2553,527
2,3.0,Chylonia,20 717,384,5395
3,4.0,Cisowa,11 016,578,1906
4,5.0,Działki Leśne,7382,195,3786
5,6.0,Dąbrowa,13 636,623,2192
6,7.0,Grabówek,8153,438,1861
7,8.0,Kamienna Góra,3866,65,5958
8,9.0,Karwiny,9731,339,2871
9,10.0,Leszczynki,7127,275,2592
10,11.0,Mały Kack,9645,794,1215
11,12.0,Obłuże,17 598,366,4808
12,13.0,Oksywie,14 362,437,3286
13,14.0,Orłowo,6683,502,1331
14,15.0,Pogórze,12 231,236,5183
15,16.0,Pustki Cisowskie-Demptowo,7930,1518,522
16,17.0,Redłowo,7985,296,2698
17,18.0,Śródmieście,11 389,1149,991
18,19.0,Wielki Kack,11 076,1503,737
19,20.0,Witomino,16 228,523,1909
20,21.0,Wzgórze św. Maksymiliana,10 069,195,5164
